danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,3S68RFe1lsdCdTMPIMJM3X,216136,4
0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,3kMrazSvILsgcwtidZd1Qd,205733,4
0.735,0.826,1,-4.902,1,0.0349,0.00101,0.129,0.197,0.74,132.964,4QdX6pmNnJ5cleufWQIr5D,212280,4
0.572,0.89,6,-4.139,0,0.039,0.00082,0.00937,0.564,0.765,158.038,11dxtPJKR4E0wlSr0A0t47,219773,4
0.77,0.896,0,-3.971,1,0.039,0.0539,0.0,0.243,0.964,126.999,4sNwdacKyi2S26WrRtNama,182587,4
0.833,0.848,6,-3.703,1,0.222,0.069,0.0,0.335,0.934,160.114,0aoLgGE9S9qMjIGtTgpnNd,120016,4
0.452,0.976,0,-4.349,1,0.117,0.016,0.00631,0.0985,0.178,123.035,2t0ZYmVXMR36fchq1Egs2d,216973,4
0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,3JTMWdhcJPiegDSe7SvZS3,194253,4
0.603,0.872,5,-5.404,0,0.0792,0.0213,0.0,0.366,0.691,150.104,4z8ssgZfs5TzKiO8HaGWXO,206373,4
0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,66ZcOcouenzZEnzTJvoFmH,246467,4
0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,6KOEK6SeCEZOQkLj5M1PxH,234653,4
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,7EQGXaVSyEDsCWKmUcfpLk,211920,4
0.653,0.76,11,-6.086,1,0.0479,0.475,0.000129,0.0917,0.6,98.008,5kXDF4OmM5COyeo6z97nEk,308733,4
0.418,0.688,11,-5.515,1,0.0265,0.212,0.00964,0.705,0.319,150.03,03YZnK3XQWKpvo9TyNZzXf,224787,4
0.872,0.341,3,-8.93,0,0.058,0.0329,0.000169,0.0837,0.605,127.006,77yGu0p7APK39lotu7CLk5,173386,4
0.697,0.78,1,-3.328,1,0.0509,0.479,0.0,0.0892,0.368,124.881,6VUMlHTs06O4tvQTpuboVR,174351,4
0.586,0.893,7,-8.772,1,0.439,0.827,0.642,0.212,0.65,140.023,1c5CllrZr45UBhWpIqM332,116630,3
0.569,0.692,9,-4.683,1,0.0323,0.0167,3.78e-05,0.126,0.737,141.632,3xxmjMvJsSR3L7mUOxP9QA,192213,4
0.563,0.366,11,-6.896,0,0.121,0.36,0.00243,0.0955,0.768,85.352,7yHqOZfsXYlicyoMt62yC6,240597,4
0.903,0.519,1,-9.151,1,0.26,0.281,0.000106,0.155,0.587,114.991,2i5vu6GI7mJ2B2pf9gNFhn,116727,4
0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,1f2V8U1BiWaC9aJWmpOARe,216933,4
0.616,0.86,1,-7.665,0,0.113,0.128,0.0,0.0523,0.586,90.012,1EfBW6u39JGd2X4W4qvB7M,205813,4
0.548,0.915,7,-4.18,1,0.0556,0.0394,2.35e-05,0.163,0.235,144.002,2gY0Ff8dmJNlCyQxDDqBEf,235213,4
0.569,0.405,3,-6.697,1,0.0606,0.219,0.0,0.133,0.648,99.71,4cqj8FIWkyR5A2XBtcqRMU,187229,4
0.548,0.686,7,-7.041,1,0.0565,0.467,0.0,0.386,0.538,86.945,6wjaAghthtTG3EEIPCI9b7,205323,4
0.587,0.99,0,-4.496,1,0.0783,0.0172,0.000668,0.104,0.486,127.992,5ugzDiilhy6ILKmKfhEzd7,211680,4
0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,2kS6td1yvmpNgZTt1q5pQq,181680,4
0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,3pANfZVFdtuVnJsE6xa5Ox,137142,4
